reef section;specimen_id;genus;mean growth;
lagoonal back reef;TD1;Porites;1,312;
lagoonal back reef;TD2;Porites;0,978571429;
lagoonal back reef;TD4;Porites;1,5804;
lagoonal back reef;TD5;Porites;1,327142857;
lagoonal back reef;TD6;Porites;1,5025;
lagoonal back reef;TD7;Porites;1,474285714;
reef front;CDG1;Porites;1,252446633;
reef front;CDG2;Porites;2,439710164;
reef front;CDG3;Porites;2,661275;
reef front;CDG4;Porites;2,595078811;
reef front;CDG5;Porites;1,615714427;
reef front;CDG6;Porites;1,612408904;
reef front;CDG7;Porites;2,091789177;
reef front;CDG9;Porites;1,263686503;
reef front;CDG10;Porites;1,301693249;
reef front;CDG12;Porites;2,125;
reef front to slope;LCD1;Porites;1,393529412;massive 
reef front to slope;LCD2;Porites;2,48;columnar, horizontal extension measured
reef front to slope;LCD3;Porites;1,446315789;columnar, horizontal extension measured
reef front to slope;LCD4;Porites;1,609333333;
reef front to slope;LCD5;Porites;2,006666667;columnar, horizontal extension measured
