time;reef section;specimen_id;rugosity;
Oligocene;reef front;SCT1;1,98245614;
Oligocene;reef front;SCT2;1,666666667;
Oligocene;reef front;SCT3;1,956521739;
Oligocene;reef front;SCT4;3,785714286;
Oligocene;reef front;SCT5;1,433333333;
Oligocene;reef front;SCT6;1,870967742;
Oligocene;reef front;SCT7;1,543478261;
Oligocene;reef front;SCT8;1,494117647;
Oligocene;reef front;SCT9;1,322352941;NO LINE TRANSECTS
Oligocene;reef front;SCT10;1,641791045;
Miocene;reef front;CGR1;1,892857143;
Miocene;reef front;CGR2;1,8;
Miocene;proximal slope;LCR1;2;
Miocene;proximal slope;LCR2;3,4;
Miocene;proximal slope;LCR3;3,777777778;
